List Number	Series Number	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work_Wikidata_ID	Author_Wikidata_ID
349		2006						The Garden Party	Mansfield, Katherine	2) Deleted 2008		457	New Zealand	1900s		Q7735827	Q270632
350			2008	2010	2012	2018		Kristin Lavransdatter	Undset, Sigrid	3) Added 2008		230		1900s		Q1755757	Q80889
351		2006	2008	2010	2012	2018		Amok	Zweig, Stefan	1) core list		70	Austrian	1900s		Q675609	Q78491
352		2006						Antic Hay	Huxley, Aldous	2) Deleted 2008		1184	English	1900s		Q4774579	Q81447
353		2006						Cane	Toomer, Jean	2) Deleted 2008		416	American	1900s		Q3655399	Q1277467
354		2006	2008	2010	2012	2018		The Devil in the Flesh	Radiguet, Raymond	1) core list		794	French	1900s		Q371371	Q333615
355		2006	2008	2010	2012	2018		Zeno’s Conscience	Svevo, Italo	1) core list	La coscienza di Zeno	653	Italian	1900s		Q2630581	Q216478
356		2006	2008	2010	2012	2018		A Passage to India	Forster, E.M.	1) core list		861	English	1900s		Q622303	Q189119
357		2006	2008	2010	2012	2018		We	Zamyatin, Yevgeny	1) core list		322	Russian	1900s		Q83799	Q204868
358		2006	2008	2010	2012	2018		The Magic Mountain	Mann, Thomas	1) core list		221	German	1900s		Q212898	Q37030
359		2006	2008	2010	2012	2018		The Green Hat	Arlen, Michael	1) core list		1269	Bulgarian	1900s		Q123358176	Q115683
360		2006						Billy Budd, Foretopman	Melville, Herman	2) Deleted 2008		1249	American	1900s		Q863037	Q4985
361			2008	2010				The New World	Heruy Wolde Selassie	6) Deleted 2012		1317		1900s		Q135364670	Q3134389
362		2006	2008	2010	2012	2018		The Professor’s House	Cather, Willa	1) core list		723	American	1900s		Q7758486	Q229480
363		2006	2008	2010	2012	2018		The Artamonov Business	Gorky, Maxim	1) core list		1094	Russian	1900s		Q5704466	Q12706
364		2006	2008	2010	2012	2018		The Trial	Kafka, Franz	1) core list		239	Czech/Austrian	1900s		Q36097	Q905
365		2006	2008	2010	2012	2018		The Counterfeiters	Gide, André	1) core list		629	French	1900s		Q276722	Q47484
366		2006	2008	2010	2012	2018		The Great Gatsby	Fitzgerald, F. Scott	1) core list		313	American	1900s		Q214371	Q93354
367		2006	2008	2010	2012	2018		Mrs. Dalloway	Woolf, Virginia	1) core list		537	English	1900s		Q752584	Q40909
368		2006						Manhattan Transfer	Dos Passos, John	2) Deleted 2008		923	American	1900s		Q1648409	Q312407
369			2008	2010	2012	2018		Chaka the Zulu	Mofolo, Thomas	3) Added 2008		1033		1900s		Q1120822	Q1452076
370		2006	2008	2010	2012	2018		The Making of Americans	Stein, Gertrude	1) core list		1192	American	1900s		Q7749704	Q188385
371		2006	2008	2010	2012	2018		The Murder of Roger Ackroyd	Christie, Agatha	1) core list		32	English	1900s		Q224078	Q35064
372		2006	2008	2010	2012	2018		One, No One and One Hundred Thousand	Pirandello, Luigi	1) core list	Uno, nessuno, centomila	103	Italian	1900s		Q3021244	Q1403
373		2006						The Plumed Serpent	Lawrence, D.H.	2) Deleted 2008		1237	English	1900s		Q17017955	Q34970
374			2008	2010	2012	2018		Under Satan's Sun	Bernanos, Georges	3) Added 2008		1126		1900s		Q860909	Q315072
375		2006	2008	2010	2012	2018		The Good Soldier Švejk	Hašek, Jaroslav	1) core list		305	Czech	1900s		Q208622	Q2754
376			2008	2010	2012	2018		Alberta and Jacob	Sandel, Cora	3) Added 2008		671		1900s		Q95111336	Q287727
377		2006	2008	2010	2012	2018		The Castle	Kafka, Franz	1) core list		304	Czech/Austiran	1900s		Q682733	Q905
378		2006	2008	2010	2012	2018		Blindness	Green, Henry	1) core list		1244	English	1900s		Q135365642	Q1285562
379		2006	2008	2010	2012	2018		The Sun Also Rises	Hemingway, Ernest	1) core list		481	American	1900s		Q501351	Q23434
380		2006	2008	2010	2012	2018		Amerika	Kafka, Franz	1) core list		737	Czech/Austiran	1900s		Q48229	Q905
381			2008	2010	2012	2018		The Case of Sergeant Grischa	Zweig, Arnold	3) Added 2008		1119		1900s		Q1197193	Q75868
382		2006	2008	2010	2012	2018		Tarka the Otter	Williamson, Henry	1) core list		795	English	1900s		Q7686243	Q1278677
383		2006	2008	2010	2012	2018		To The Lighthouse	Woolf, Virginia	1) core list		590	English	1900s		Q478016	Q40909
384		2006	2008	2010	2012	2018		Remembrance of Things Past	Proust, Marcel	1) core list	A la recherche du temps perdu (In Search of Lost Time)	1234	French	1900s		Q464928	Q7199
385		2006	2008	2010	2012	2018		Steppenwolf	Hesse, Hermann	1) core list		89	German	1900s		Q217073	Q25973
386		2006	2008	2010	2012	2018		Nadja	Breton, André	1) core list		960	French	1900s		Q1816820	Q161955
387		2006	2008	2010	2012	2018		Quicksand	Larsen, Nella	1) core list		880		1900s		Q24902061	Q453665
388		2006	2008	2010	2012	2018		Decline and Fall	Waugh, Evelyn	1) core list		544	English	1900s		Q3115185	Q107002
389		2006						Quartet	Rhys, Jean	2) Deleted 2008		907	Dominican/English	1900s		Q97359041	Q230598
390		2006						The Childermass	Lewis, Wyndham	2) Deleted 2008		1305	English	1900s		Q134702480	Q780102
391			2008	2010	2012	2018		Some Prefer Nettles	Tanizaki, Junichiro	3) Added 2008		945		1900s		Q7559478	Q316213
392		2006	2008	2010	2012	2018		Parade’s End	Ford, Ford Madox	1) core list		765	English	1900s		Q5579026	Q537112
393		2006	2008	2010	2012	2018		The Well of Loneliness	Hall, Radclyffe	1) core list		944	English	1900s		Q1514807	Q237639
394		2006	2008	2010	2012	2018		Lady Chatterley’s Lover	Lawrence, D.H.	1) core list		1046	English	1900s		Q750670	Q34970
395		2006	2008	2010	2012	2018		Orlando	Woolf, Virginia	1) core list		429	English	1900s		Q1629456	Q40909
396		2006	2008	2010	2012	2018		Story of the Eye	Bataille, Georges	1) core list		801	French	1900s		Q2747021	Q207359
397			2008	2010	2012	2018		Retreat Without Song	Shahnour, Shahan	3) Added 2008		588		1900s		Q20509885	Q2862197
398		2006	2008	2010	2012	2018		The Holy Terrors	Cocteau, Jean	1) core list	Les Enfants Terribles	689	French	1900s		Q2542978	Q83158
399		2006						The Sound and the Fury	Faulkner, William	2) Deleted 2008		486	American	1900s		Q135515	Q38392
400		2006						Harriet Hume	West, Rebecca	2) Deleted 2008		1271	English	1900s		Q42185068	Q236669
401		2006						The Last September	Bowen, Elizabeth	2) Deleted 2008		1137	Irish	1900s		Q1199395	Q235308
402		2006	2008	2010	2012	2018		Berlin Alexanderplatz	Döblin, Alfred	1) core list		684	Polish	1900s		Q694245	Q57389
403		2006	2008	2010	2012	2018		All Quiet on the Western Front	Remarque, Erich Maria	1) core list		289	German	1900s		Q207332	Q47293
404		2006	2008	2010	2012	2018		The Time of Indifference	Moravia, Alberto	1) core list		858	Italian	1900s		Q3233315	Q161933
405		2006	2008	2010	2012	2018		Living	Green, Henry	1) core list		1138	English	1900s		Q6659005	Q1285562
406		2006						The Red Harvest	Hammett, Dashiell	2) Deleted 2008		247	American	1900s		Q1935469	Q186335
407			2008	2010	2012	2018		I Thought of Daisy	Wilson, Edmund	3) Added 2008		1311	American	1900s		Q135821346	Q704931
408		2006	2008	2010	2012	2018		A Farewell to Arms	Hemingway, Ernest	1) core list		575	American	1900s		Q235795	Q23434
409		2006	2008	2010	2012	2018		Passing	Larsen, Nella	1) core list		452	American	1900s		Q15052495	Q453665
410		2006						Hebdomeros	De Chirico, Giorgio	2) Deleted 2008		766	Greek/Italian	1900s		Q47089834	Q156622
411		2006	2008	2010	2012	2018		Look Homeward, Angel	Wolfe, Thomas	1) core list		556	American	1900s		Q6675006	Q314256
412		2006	2008	2010	2012	2018		The Maltese Falcon	Hammett, Dashiell	1) core list		351	American	1900s		Q870551	Q186335
413		2006						Vile Bodies	Waugh, Evelyn	2) Deleted 2008		675	English	1900s		Q7271018	Q107002
414		2006	2008	2010	2012	2018		Her Privates We	Manning, Frederic	1) core list		551	English	1900s		Q135821799	Q1252799
415		2006	2008	2010	2012	2018		The Apes of God	Lewis, Wyndham	1) core list		1268	Canadian	1900s		Q7713979	Q780102
416		2006						Cakes and Ale	Maugham, W. Somerset	2) Deleted 2008		740	French/English	1900s		Q2266873	Q134942
417		2006						The Glass Key	Hammett, Dashiell	2) Deleted 2008		307	American	1900s		Q6035197	Q186335
418			2008	2010	2012	2018		Monica	Lewis, Saunders	3) Added 2008		1302		1900s		Q6899894	Q2420498
419			2008	2010	2012	2018		Insatiability	Witkiewicz, Stanislaw Ignacy	3) Added 2008		748	Polish	1900s		Q6037124	Q381238
420		2006	2008	2010	2012	2018		The Waves	Woolf, Virginia	1) core list		94	English	1900s		Q1217475	Q40909
421		2006	2008	2010	2012	2018		To the North	Bowen, Elizabeth	1) core list		1106	Irish	1900s		Q135822199	Q235308
422		2006	2008	2010	2012	2018		The Thin Man	Hammett, Dashiell	1) core list		291	American	1900s		Q1198493	Q186335
423		2006	2008	2010	2012	2018		Journey to the End of the Night	Céline, Louis-Ferdinand	1) core list	Voyage au bout de la nuit	64	French	1900s		Q774233	Q151820
424		2006						Sunset Song	Gibbon, Lewis Grassic	2) Deleted 2008		446	Scottish	1900s		Q3655833	Q650800
425			2008	2010	2012	2018		The Return of Philip Latinowicz	Krleža, Miroslav	3) Added 2008		1098		1900s		Q1215882	Q325428
426		2006	2008	2010	2012	2018		The Radetzky March	Roth, Joseph	1) core list		217		1900s		Q610428	Q78509
427			2008	2010	2012	2018		The Forbidden Realm	Slauerhoff, Jan Jacob	3) Added 2008	Het verboden rijk	1121		1900s		Q2310834	Q561650
428		2006	2008	2010	2012	2018		Cold Comfort Farm	Gibbons, Stella	1) core list		370	English	1900s		Q5142221	Q1252645
429		2006	2008	2010	2012	2018		Brave New World	Huxley, Aldous	1) core list		244	English	1900s		Q191949	Q81447
430			2008	2010	2012	2018		Vipers' Tangle	Mauriac, Francois	3) Added 2008	Le Nœud de vipères, Knot of Vipers	272		1900s		Q3225099	Q81685
431		2006	2008	2010	2012	2018		The Man Without Qualities	Musil, Robert	1) core list		735	Austrian	1900s		Q1195668	Q78487
432			2008	2010	2012	2018		Cheese	Elsschot, Willem	3) Added 2008	Kaas	975		1900s		Q2181161	Q554105
433			2008	2010	2012	2018		Man's Fate	Malraux, André	3) Added 2008		803		1900s		Q1618413	Q151164
434		2006	2008	2010	2012	2018		A Day Off	Jameson, Storm	1) core list		1294	English	1900s		Q134994062	Q541812
435		2006	2008	2010	2012	2018		Testament of Youth	Brittain, Vera	1) core list		191	English	1900s		Q2406418	Q450802
436		2006	2008	2010	2012	2018		The Autobiography of Alice B. Toklas	Stein, Gertrude	1) core list		986	American	1900s		Q6618986	Q188385
437		2006	2008	2010	2012	2018		Murder Must Advertise	Sayers, Dorothy L.	1) core list		62	English	1900s		Q2855327	Q106740
438		2006	2008	2010	2012	2018		Miss Lonelyhearts	West, Nathanael	1) core list		926	American	1900s		Q6876987	Q370521
439		2006	2008	2010	2012	2018		Call it Sleep	Roth, Henry	1) core list		692	American	1900s		Q5021517	Q1285419
440			2008	2010	2012	2018		The Street of Crocodiles	Schulz, Bruno	3) Added 2008		78		1900s		Q3182978	Q148886
441		2006	2008	2010	2012	2018		Thank You, Jeeves	Wodehouse, P.G.	1) core list		37	English	1900s		Q7710461	Q207515
442		2006	2008	2010	2012	2018		Tender is the Night	Fitzgerald, F. Scott	1) core list		557	American	1900s		Q247372	Q93354
443		2006						A Handful of Dust	Waugh, Evelyn	2) Deleted 2008		395	English	1900s		Q4004281	Q107002
444		2006	2008	2010	2012	2018		Tropic of Cancer	Miller, Henry	1) core list		833	American/French	1900s		Q1501700	Q187765
445		2006	2008	2010	2012	2018		The Postman Always Rings Twice	Cain, James M.	1) core list		513	American	1900s		Q934430	Q81071
446		2006						Novel With Cocaine	Ageyev, M.	2) Deleted 2008		1032	Russian	1900s		Q111903	Q517719
447		2006						Threepenny Novel	Brecht, Bertolt	2) Deleted 2008		914	German	1900s		Q7798044	Q38757
448			2008	2010	2012	2018		On the Heights of Despair	Cioran, Emil	3) Added 2008		44		1900s		Q102079174	Q193405
449			2008	2010	2012	2018		The Bells of Basel	Aragon, Louis	3) Added 2008		1278		1900s		Q427412	Q4128
450		2006	2008	2010	2012	2018		The Nine Tailors	Sayers, Dorothy L.	1) core list		224	English	1900s		Q1815880	Q106740
451		2006						Burmese Days	Orwell, George	2) Deleted 2008		524	English	1900s		Q1762079	Q3335
452		2006						England Made Me	Greene, Graham	2) Deleted 2008		1161	English	1900s		Q5377991	Q128560
453		2006						The House in Paris	Bowen, Elizabeth	2) Deleted 2008		916	Irish	1900s		Q366927	Q235308
454		2006	2008	2010	2012	2018		Auto-da-Fé	Canetti, Elias	1) core list		297	Italian	1900s		Q1211666	Q80064
455		2006	2008	2010	2012	2018		They Shoot Horses, Don’t They?	McCoy, Horace	1) core list		456	American	1900s		Q2900609	Q359226
456		2006	2008	2010	2012	2018		The Last of Mr. Norris	Isherwood, Christopher	1) core list		752	English	1900s		Q6929440	Q310111
457			2008	2010	2012	2018		Untouchable	Anand, Mulk Raj	3) Added 2008		789		1900s		Q3641802	Q732434
458		2006	2008	2010	2012	2018		Independent People	Laxness, Halldór	1) core list		134	Icelandic	1900s		Q3449499	Q80321
459		2006	2008	2010	2012	2018		Nightwood	Barnes, Djuna	1) core list		850	American	1900s		Q11918676	Q234721
460		2006	2008	2010	2012	2018		At the Mountains of Madness	Lovecraft, H.P.	1) core list		415	American	1900s		Q786586	Q169566
461		2006	2008	2010	2012	2018		Absalom, Absalom!	Faulkner, William	1) core list		327	American	1900s		Q2181982	Q38392
462		2006						Wild Harbour	MacPherson, Ian	2) Deleted 2008		1291	Scottish	1900s		Q133636716	Q5982174
463			2008	2010	2012	2018		War with the Newts	Capek, Karel	3) Added 2008		75		1900s		Q1194994	Q155855
464		2006	2008	2010	2012	2018		Keep the Aspidistra Flying	Orwell, George	1) core list		467	English	1900s		Q1217656	Q3335
465		2006	2008	2010	2012	2018		Gone With the Wind	Mitchell, Margaret	1) core list		136	American	1900s		Q2870	Q173540
466		2006	2008	2010	2012	2018		The Thinking Reed	West, Rebecca	1) core list		1259	English	1900s		Q135009657	Q236669
467		2006	2008	2010	2012	2018		Eyeless in Gaza	Huxley, Aldous	1) core list		717	German	1900s		Q5422772	Q81447
468		2006	2008	2010	2012	2018		Summer Will Show	Warner, Sylvia Townsend	1) core list		1187	English	1900s		Q127773736	Q462270
469		2006						To Have and Have Not	Hemingway, Ernest	2) Deleted 2008		972	American	1900s		Q538390	Q23434
470			2008	2010	2012	2018		Rickshaw Boy	Lao, She	3) Added 2008		812		1900s		Q3140506	Q315167
471		2006	2008	2010	2012	2018		Out of Africa	Dinesen, Isak	1) core list		371	Danish	1900s		Q1756234	Q182804
472		2006						The Revenge for Love	Lewis, Wyndham	2) Deleted 2008		1279	Canadian	1900s		Q127774136	Q780102
473		2006	2008	2010	2012	2018		In Parenthesis	Jones, David	1) core list		574	English	1900s		Q6010393	Q725689
474			2008	2010	2012	2018		Ferdydurke	Gombrowicz, Witold	3) Added 2008		543		1900s		Q3057258	Q275175
475			2008	2010	2012	2018		The Blind Owl	Hedayat, Sadegh	3) Added 2008		231		1900s		Q1211660	Q315017
476		2006	2008	2010	2012	2018		The Hobbit	Tolkien, J.R.R.	1) core list		27	S. African/English	1900s		Q74287	Q892
477		2006						The Years	Woolf, Virginia	2) Deleted 2008		851	English	1900s		Q1616684	Q40909
478		2006	2008	2010	2012	2018		Their Eyes Were Watching God	Hurston, Zora Neale	1) core list		363	American	1900s		Q1476619	Q220480
479		2006	2008	2010	2012	2018		Of Mice and Men	Steinbeck, John	1) core list		365	American	1900s		Q457977	Q39212
480		2006	2008	2010	2012	2018		Murphy	Beckett, Samuel	1) core list		568	Irish	1900s		Q1431476	Q37327
481		2006	2008	2010	2012	2018		U.S.A.	Dos Passos, John	1) core list		655	American	1900s		Q971694	Q312407
482		2006	2008	2010	2012	2018		Brighton Rock	Greene, Graham	1) core list		805	English	1900s		Q2056663	Q128560
483		2006	2008	2010	2012	2018		Cause for Alarm	Ambler, Eric	1) core list		820	English	1900s		Q5054602	Q508452
484			2008	2010	2012	2018		Alamut	Bartol, Vladimir	3) Added 2008		45		1900s		Q2339436	Q351683
485		2006	2008	2010	2012	2018		Rebecca	Du Maurier, Daphne	1) core list		55	English	1900s		Q1334940	Q193357
486		2006	2008	2010	2012	2018		Nausea	Sartre, Jean-Paul	1) core list	La Nausée	319	French	1900s		Q658288	Q9364
487		2006	2008	2010	2012	2018		Miss Pettigrew Lives for a Day	Watson, Winifred	1) core list		292	English	1900s		Q38780970	Q8025429
488		2006						After the Death of Don Juan	Warner, Sylvia Townsend	2) Deleted 2008		1308	English	1900s		Q127774816	Q462270
489			2008	2010	2012	2018		On the Edge of Reason	Krleža, Miroslav	3) Added 2008		36		1900s		Q16512299	Q325428
490		2006	2008	2010	2012	2018		The Big Sleep	Chandler, Raymond	1) core list		195	American	1900s		Q1649862	Q180377
491		2006	2008	2010	2012	2018		Goodbye to Berlin	Isherwood, Christopher	1) core list		348	English	1900s		Q3605099	Q310111
492		2006						Coming Up for Air	Orwell, George	2) Deleted 2008		652	English	1900s		Q967866	Q3335
493		2006	2008	2010	2012	2018		The Grapes of Wrath	Steinbeck, John	1) core list		384	American	1900s		Q215983	Q39212
