List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
77	Johann Christoph Gottsched	http://www.wikidata.org/entity/Q76442	https://d-nb.info/gnd/118541013	Atalanta oder Die bezwungene Sprödigkeit	Ein Schäferspiel, in fünf Aufzügen	101–102	1741	1741	Hamburg	http://www.wikidata.org/entity/Q55103320		https://d-nb.info/gnd/135949247X	https://dracor.org/id/ger000252
78	Johann Christoph Gottsched	http://www.wikidata.org/entity/Q76442	https://d-nb.info/gnd/118541013	Sterbender Cato	Ein Trauerspiel	102–104	1732	1731	Leipzig	http://www.wikidata.org/entity/Q51396085			
79	Johann Christoph Gottsched	http://www.wikidata.org/entity/Q76442	https://d-nb.info/gnd/118541013	Die parisische Bluthochzeit König Heinrichs von Navarra	Ein Trauerspiel	104–106	1745	1746				https://d-nb.info/gnd/4325547-4	https://dracor.org/id/ger000244
80	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Die Hausfranzösinn, oder die Mammsell	Ein deutsches Lustspiel in fünf Aufzügen	106–107	1744	1744	Breslau				
81	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Herr Witzling	Ein deutsches Nachspiel in einem Aufzuge	107–108	1745			http://www.wikidata.org/entity/Q55102908		https://d-nb.info/gnd/1221090771	https://dracor.org/id/ger000395
82	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Panthea	Ein Trauerspiel, in fünf Aufzügen	109–110	1744	1744	Breslau	http://www.wikidata.org/entity/Q110549936			
83	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Die Pietisterey im Fischbein-Rocke; Oder die Doctormäßige Frau	In einem Lust-Spiele vorgestellet	110–112	1736			http://www.wikidata.org/entity/Q15805796		https://d-nb.info/gnd/1221094386	https://dracor.org/id/ger000462
84	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Das Testament	Ein deutsches Lustspiel in fünf Aufzügen	112–113	1745	1747	Hannover	http://www.wikidata.org/entity/Q42291271			https://dracor.org/id/ger000220
85	Luise Adelgunde Victorie Gottsched	http://www.wikidata.org/entity/Q65863	https://d-nb.info/gnd/118696734	Die ungleiche Heirath	Ein deutsches Lustspiel in fünf Aufzügen	113–114	1743	1750	Schwerin				
86	Friedrich Melchior Grimm	http://www.wikidata.org/entity/Q61852	https://d-nb.info/gnd/118697765	Banise	Ein Trauerspiel	115–116	1743	1745	Halle				
87	Gustav Friedrich Großmann	http://www.wikidata.org/entity/Q88019	https://d-nb.info/gnd/118542648	Nicht mehr als sechs Schüsseln	Ein Familien-Gemälde in fünf Aufzügen	116–117	1780	1779-04-06	Bonn				
88	Gustav Friedrich Großmann	http://www.wikidata.org/entity/Q88019	https://d-nb.info/gnd/118542648	Wilhelmine von Blondheim	Ein Trauerspiel in drei Aufzügen	117–118	1775	1778-03-10	Breslau	http://www.wikidata.org/entity/Q133250770			
89	Johann Gottfried Hagemeister	http://www.wikidata.org/entity/Q1694100	https://d-nb.info/gnd/100155324	Brutus und seine Söhne		119–120	1794						
90	Johann Gottfried Hagemeister	http://www.wikidata.org/entity/Q1694100	https://d-nb.info/gnd/100155324	Der Graf aus Deutschland	Ein Lustspiel in fünf Aufzügen	120–121	1791						
91	Johann Gottfried Hagemeister	http://www.wikidata.org/entity/Q1694100	https://d-nb.info/gnd/100155324	Der Tod des Pausanias	Ein Trauerspiel	122–123	1795						
92	Gerhard Anton von Halem	http://www.wikidata.org/entity/Q1511247	https://d-nb.info/gnd/118700944	Wallenstein	Ein Schauspiel	123–124	1786			http://www.wikidata.org/entity/Q525580		https://d-nb.info/gnd/4099340-1	
93	Aaron Halle-Wolfssohn	http://www.wikidata.org/entity/Q74769	https://d-nb.info/gnd/120163683	Leichtßin und Frömmelei	Ein Familien Gemählde in drei Aufsügn	125–126	1796						
